City,Date,Average Temperature,Wind Speed,Precipitation Probability,Condition
Ростов-на-Дону,2024-12-22T07:00:00+03:00,42.5,6.9,25,Неблагоприятные
Ростов-на-Дону,2024-12-23T07:00:00+03:00,43.5,10.4,25,Неблагоприятные
Ростов-на-Дону,2024-12-24T07:00:00+03:00,41.0,10.4,1,Неблагоприятные
Ростов-на-Дону,2024-12-25T07:00:00+03:00,38.0,12.7,2,Неблагоприятные
Ростов-на-Дону,2024-12-26T07:00:00+03:00,35.5,9.2,0,Неблагоприятные
Москва,2024-12-22T07:00:00+03:00,23.0,12.7,0,Благоприятные
Москва,2024-12-23T07:00:00+03:00,31.0,6.9,88,Неблагоприятные
Москва,2024-12-24T07:00:00+03:00,31.5,5.8,25,Благоприятные
Москва,2024-12-25T07:00:00+03:00,29.0,8.1,25,Благоприятные
Москва,2024-12-26T07:00:00+03:00,25.5,10.4,25,Благоприятные
